"Airline","Comments","Country","ICAO","Call sign"
"AST Pakistan Airways","","Pakistan","PKA","PAKISTAN AIRWAY"
"Aero Personal","","Mexico","PNL","AEROPERSONAL"
"Aero Servicios Platinum","","Mexico","PNU","AERO PLATINUM"
"Apoyo Aéreo","","Mexico","POY","APOYO AEREO"
"Aerotransportes Privados","","Mexico","PRI","AEROPRIV"
"Atlantic Coast Jet","","United States","PRT","PATRIOT"
"Air Paradise International","Defunct 2005","Indonesia","PRZ","RADISAIR"
"Aeroservicio Sipse","","Mexico","PSE","SIPSE"
"Aeroservicios Corporativos De San Luis","","Mexico","PSL","CORSAN"
"Aerotransportes Privados","","Mexico","PVA","TRANSPRIVADO"
"Aéreo Taxi Paraza","","Mexico","PZA","AEREO PARAZA"
"Air Class Líneas Aéreas","","Uruguay","QCL","ACLA"
"Aviation Consultancy Office","","Australia","QEA",""
"Aero Taxi","defunct","Canada","QAT","AIR QUASAR"
"Aero Taxi Aviation","","United States","QKC","QUAKER CITY"
"Aviation Quebec Labrador","","Canada","QLA","QUEBEC LABRADOR"
"African Safari Airways","","Kenya","QSC","ZEBRA"
"Aero Quimmco","","Mexico","QUI","QUIMMCO"
"Alada","","Angola","RAD","AIR ALADA"
"Aerotur Air","","Kazakhstan","RAI","DIASA"
"Air Center Helicopters","","United States","RAP","RAPTOR"
"Aur Rum Benin","","Benin","RBE","RUM BENIN"
"Aeroserivios Del Bajio","","Mexico","RBJ","AEROBAJIO"
"Airbus France","","France","RBU","AIRBUS FRANCE"
"Air Roberval","","Canada","RBV","AIR ROBERVAL"
"Arubaexel","","Aruba","RBX","ARUBA"
"Air Charters Eelde","","Netherlands","RCC","RACER"
"Aerocer","","Mexico","RCE","AEROCER"
"Aeroflot-Cargo","","Russia","RCF","AEROFLOT-CARGO"
"Air Mobility Command","United States Air Force","United States","RCH","REACH"
"Air Cassai","","Angola","RCI","AIR CASSAI"
"Aero Renta De Coahuila","","Mexico","RCO","AEROCOAHUILA"
"Aerocorp","","Mexico","RCP","AEROCORPSA"
"Aerolíneas Regionales","","Mexico","RCQ","REGIONAL CARGO"
"Atlantic S.L.","","Spain","RCU","AIR COURIER"
"Air Service Center","","Italy","RCX","SERVICE CENTER"
"Adygeya Airlines","defunct","Russia","RDD","ADLINES"
"Air Ada","","Mauritania","RDM","AIR ADA"
"Aer Arann","","Ireland","REA","AER ARANN"
"Aero-Rent","","Mexico","REN","AERORENT"
"Australian Maritime Safety Authority","","Australia","RES","RESCUE"
"Air Austral","","France","REU","REUNION"
"Aero-Rey","","Mexico","REY","AEROREY"
"Aero Africa","","Swaziland","RFC","AERO AFRICA"
"Aerotransportes Rafilher","","Mexico","RFD","RAFHILER"
"Argo","","Dominican Republic","RGO","ARGOS"
"Airbourne School of Flying","ICAO code no longer allocated","United Kingdom","RGT","AIRGOAT"
"Air Archipels","","France","RHL","ARCHIPELS"
"Aviation Ministry of the Interior of the Russian Federation","","Russian Federation","RIF","INTERMIN AVIA"
"Aeris Gestión","","Spain","RIS","AERIS"
"Asian Spirit","","Philippines","RIT","ASIAN SPIRIT"
"Aeroservicios Jet","","Mexico","RJS","ASERJET"
"Air Afrique","","Ivory Coast","RKA","AIRAFRIC"
"Airlinair","","France","RLA","AIRLINAIR"
"Air Nelson","","New Zealand","RLK",""
"Air Leone","","Sierra Leone","RLL","AEROLEONE"
"Aero Lanka","","Sri Lanka","RLN","AERO LANKA"
"Air Alize","","France","RLZ","ALIZE"
"Air Amder","","Mauritania","RMD","AIR AMDER"
"Armenian Airlines","defunct","Armenia","RME","ARMENIAN"
"Armenian International Airways","defunct","Armenia","RML","ARMENIA"
"Arm-Aero","","Armenia","RMO","ARM-AERO"
"Air Max","","Bulgaria","RMX","AEROMAX"
"Air Salone","","Sierra Leone","RNE","AIR SALONE"
"Aeronem Air Cargo","","Ecuador","RNM","AEROMNEM"
"Air Cargo Masters","","United States","RNR","RUNNER"
"Armavia","defunct, ICAO code no longer allocated","Armenia","RNV","ARMAVIA"
"Aeroeste","","Bolivia","ROE","ESTE-BOLIVIA"
"Aero Gen","","Mexico","ROH","AEROGEN"
"Avior Airlines","","Venezuela","ROI","AVIOR"
"Aeroel Airways","ICAO code no longer allocated","Israel","ROL","AEROEL"
"Aeromar Lineas Aereas Dominicanas","defunct","Dominican Republic","ROM","BRAVO QUEBEC"
"Aeroitalia","defunct","Italy","ROO","AEROITALIA"
"Aerodan","","Mexico","ROD","AERODAN"
"AeroRepública","","Colombia","RPB","AEROREPUBLICA"
"Aerolíneas Del Pacífico","","Ecuador","RPC","AEROPACSA"
"Aero Roca","","Mexico","RRC","AEROROCA"
"Aerotransportes Internacionales De Torreon","","Mexico","RRE","AERO TORREON"
"Acvila Air-Romanian Carrier","defunct","Romania","RRM","AIR ROMANIA"
"Aerolíneas Ejecutivas Tarascas","","Mexico","RSC","TARASCAS"
"Aero-Service","","Republic of the Congo","RSR","CONGOSERV"
"AeroSur","","Bolivia","RSU","AEROSUR"
"Aeronorte","ICAO code no longer allocated","Portugal","RTE","LUZAVIA"
"Artis","","France","RTH","ARTHELICO"
"Arhabaev Tourism Airlines","","Kazakhstan","RTO","ARTOAIR"
"Air Turquoise","","France","RTQ","TURQUOISE"
"Aerotucan","","Mexico","RTU","AEROTUCAN"
"Air Anastasia","","Ukraine","RUD","ANASTASIA"
"Air Rum","","Sierra Leone","RUM","AIR RUM"
"ACT Havayollari","","Turkey","RUN","CARGO TURK"
"Air VIP","","Portugal","RVP","AEROVIP"
"Aircompany Veteran","","Armenia","RVT","AIR-VET"
"Alliance Express Rwanda","","Rwanda","RWB",""
"Arrow Ecuador Arrowec","","Ecuador","RWC","ARROWEC"
"Aerogroup 98 Limited","ICAO code no longer allocated","United Kingdom","RWY","TYNWALD"
"Aeroxtra","","Mexico","RXT","AERO-EXTRA"
"Air Whitsunday","","Australia","RWS",""
"Aero Zambia","","Zambia","RZL","AERO ZAMBIA"
"Aero Zano","","Mexico","RZN","ZANO"
"Anoka Air Charter","","United States","RZZ","RED ZONE"
"Aerosaab","","Mexico","SBH","AEROSAAB"
"Associated Aviation","","Nigeria","SCD","ASSOCIATED"
"American Jet International","","United States","SCM","SCREAMER"
"Air Santo Domingo","","Dominican Republic","SDO","AERO DOMINGO"
"Aero Sudpacifico","","Mexico","SDP","SUDPACIFICO"
"Aero Servicios Ejecutivas Del Pacifico","","Mexico","SEF","SERVIPACIFICO"
"Aero California","","Mexico","SER","AEROCALIFORNIA"
"Aerosegovia","","Nicaragua","SGV","SEGOVIA"
"Airshare Holdings","ICAO code no longer allocated","United Kingdom","SHH","AIRSHARE"
"Aerosiyusa","","Mexico","SIY","SIYUSA"
"Aero Silza","","Mexico","SIZ","AEROSILZA"
"Air San Juan","","United States","SJN","SAN JUAN"
"Aero-North Aviation Services","defunct","Canada","SKP","SKIPPER"
"Aero Sami","","Mexico","SMI","SAMI"
"Avient Aviation","","Zimbabwe","SMJ","AVAVIA"
"Aerolíneas Sol","","Mexico","SOD","ALSOL"
"Air Soleil","","Mauritania","SOE","AIR SOLEIL"
"Aero Soga","defunct","Guinea-Bissau","SOG","AEROSOGA"
"Airspeed Aviation","ICAO code no longer allocated","Canada","SPD","SPEEDLINE"
"Air Service","","Macedonia","SPJ","AIR SKOPJE"
"Aeroservicios Ejecutivos Del Pacifico","","Mexico","SPO","EJECTUIV PACIFICO"
"Asian Aerospace Service","","Thailand","SPY","THAI SPACE"
"Airworld","","South Africa","SPZ","SPEED SERVICE"
"Alsaqer Aviation","ICAO code no longer allocated","Libya","SQR","ALSAQER AVIATION"
"Air Safaris and Services","","New Zealand","SRI","AIRSAFARI"
"Aero Servicio Corporativo","","Mexico","SRV","SERVICORP"
"Air Sultan","","Sierra Leone","SSL","SIERRA SULTAN"
"Aero 1 Pro-Jet","defunct","Canada","SSM","RAPID"
"Airquarius Air Charter","ICAO code no longer allocated","South Africa","SSN","SUNSTREAM"
"Aeropac","","United States","STK","SAT PAK"
"Air St. Thomas","","United States","STT","PARADISE"
"Aerolíneas Del Sureste","","Mexico","SUE","AEROSURESTE"
"Aerial Surveys (1980) Limited","","New Zealand","SUY","SURVEY"
"Air Slovakia","ICAO code no longer allocated","Slovakia","SVK","SLOVAKIA"
"Adler Aviation","","Canada","SWH","SHOCKWAVE"
"Aircompany Yakutia","","Russia","SYL","AIR YAKUTIA"
"Aerosud Aviation","","South Africa","SYT","SKYTRACK"
"Aeroservicios de La Costa","","Mexico","TAA","AERO COSTA"
"Aeromar","","Mexico","TAO","TRANS-AEROMAR"
"Aerotrebol","","Mexico","TBL","AEROTREBOL"
"Aero Taxi de Los Cabos","","Mexico","TBO","AERO CABOS"
"Air Turks and Caicos","ICAO code no longer allocated","Turks and Caicos Islands","TCI","KERRMONT"
"Aerotranscolombina de Carga","","Colombia","TCO","TRANSCOLOMBIA"
"Air Cargo Express","","United States","TDG","TURBO DOG"
"Atlas Helicopters","","United Kingdom","TDT","TRIDENT"
"Air Today","","United States","TDY","AIR TODAY"
"Aero Servicios Azteca","","Mexico","TED","AEROAZTECA"
"Arkefly","","Netherlands","TFL","ARKEFLY"
"Antair","","Mexico","TIR","ANTAIR"
"Atlantique Air Assistance","","France","TLB","TRIPLE-A"
"Aereo Taxi Autlan","","Mexico","TLD","AEREO AUTLAN"
"Aero Util","","Mexico","TLE","AEROUTIL"
"Aero Toluca Internactional","","Mexico","TLU","AEROTOLUCA"
"Aero Taxi del Centro de Mexico","","Mexico","TME","TAXICENTRO"
"Aerotropical","","Mexico","TOC","TROPICMEX"
"Air Tomisko","","Serbia","TOH","TOMISKO CARGO"
"Airlines PNG","","Papua New Guinea","TOK","BALUS"
"Aero Tonala","","Mexico","TON","AEROTONALA"
"Aero Tropical","","Angola","TPB","AERO TROPICAL"
"Air Calédonie","","France","TPC","AIRCAL"
"Air Horizon","","Chad","TPK","TCHAD-HORIZON"
"Aero Taxi del Potosi","","Mexico","TPO","TAXI-POTOSI"
"Aeroturquesa","","Mexico","TQS","AEROTURQUESA"
"Airmark Aviation","","United States","TRH","TRANSTAR"
"AirTran Airways","defunct, last flight 12/30/2014, now part of Southwest Airlines","United States","TRS","CITRUS"
"Air Transat","","Canada","TSC","AIR TRANSAT"
"airtransse","","Japan","TSQ","AIRTRA"
"Aerolíneas Turísticas del Caribe","","Mexico","TTB","AERO TURISTICAS"
"Avcenter","","United States","TTE","TETON"
"Air Tungaru","defunct","Kiribati","TUN","TUNGARU"
"Avialeasing Aviation Company","","Uzbekistan","TWN","TWINARROW"
"Aerotaxis del Noroeste","","Mexico","TXD","TAXI OESTE"
"Aerotaxis Alfe","","Mexico","TXF","ALFE"
"Aereotaxis","","Mexico","TXI","AEREOTAXIS"
"Aero Tomza","","Mexico","TZA","AERO TOMZA"
"Air Zambezi","","Zimbabwe","TZT","ZAMBEZI"
"Afra Airlines","","Ghana","UAG","AFRALINE"
"Aerostar Airlines","","Ukraine","UAR","AEROSTAR"
"Air Division of the Eastern Kazakhstan Region","","Kazakhstan","UCK","GALETA"
"Aero-Charter Ukraine","","Ukraine","UCR","CHARTER UKRAINE"
"Air Uganda","","Uganda","UGA","UGANDA"
"Air LA","","United States","UED","AIR L-A"
"Air Ukraine","","Ukraine","UKR","AIR UKRAINE"
"Air Umbria","","Italy","UMB","AIR UMBRIA"
"Atuneros Unidos de California","","Mexico","UND","ATUNEROS UNIDOS"
"AirNet Express","Renamed from US Check Airlines","United States","USC","STAR CHECK"
"Avantair","","United States","VNR","AVANTAIR"
"Aeroclub Flaps","defunct","Spain","FLP","AEROCLUB FLAPS"
"Alrosa Air Company","","Russia","DRU","MIRNY"
"Azul Linhas Aéreas Brasileiras","","Brazil","AZU","Azul"
"Aviacsa","","Mexico","CHP","AVIACSA"
"Avia Express","Former names: AMA-Flyg I Goteborg; Salair; former ICAO code: AAX","Sweden","SKX","SKY EXPRESS"
"As-Aero","","Armenia","SRY",""
"Amsterdam Airlines","Former IATA code: FH*","Netherlands","AAN","AMSTEL"
"Air Central Asia","","Kyrgyzstan","AAT",""
"Antigua and Barbuda Airways","","Antigua and Barbuda","ABI","Anair"
"African Cargo Services","","Kenya","ACB","AFRICARGO"
"Air Cargo Plus","","Liberia","ACH","AIR PLUS"
"Avicon","","Kenya","ACJ","AVICHARTER"
"Astec Air East","defunct","United States","AAE","AIR EAST"
"Arizona Air","defunct","United States","AAE","ARIZONA"
"Aloha Airlines","Ceased operations; former IATA code: TS","United States","AAH","ALOHA"
"Alfa Airlines","","Sudan","AAJ","ALFA SUDAN"
"Andalusair","defunct","Spain","AAN","ANDALUSAIR"
"Astro Air International","defunct","Philippines","AAP","ASTRO AIR"
"Arabasco Air Services","","Saudi Arabia","AAP","ARABASCO"
"Air Alliance","defunct","Canada","AAQ","LIAISON"
"Americ Air","defunct","United States","AAR","PATRIOT"
"Airtransservice","defunct","Russia","AAS","Aviaservice"
"Austrian Air Services","defunct","Austria","AAS","AIR SERVICES"
"Austrian Airtransport","defunct; former IATA code: U8, OG; former ICAO code: AUC","Austria","AAT","AUSTRIAN CHARTER"
"Aly Aviation","defunct; former ICAO code: AAY","United Kingdom","AAV",""
"Austin Airways","defunct","Canada","AAW","AUSTIN"
"Aberdeen Airways","defunct; subsidiary of Air Provence","United Kingdom","AAW",""
"Almeta Air","defunct","Austria","AAW","ALMETA AIR"
"Asian Air","","Kyrgyzstan","AAZ",""
"Air Busan","","Republic of Korea","ABL",""
"Air Bridge Carriers","defunct","United Kingdom","ABR","AIRBRIDGE"
"Ambeo","","United Kingdom","ABT","AMBITION"
"Arberia Airlines","defunct","Albania","ABE","ARBERIA AIRLINES"
"Air Charter Express","","Ghana","ACE",""
"Aryan Cargo Express","","India","ACQ",""
"Aircraft Sales and Services","","Pakistan","ACS","AIRCRAFT SALES"
"Air Central","defunct","United States","ABS","AIR CENTRAL"
"Ade, Aviación Deportiva","","Spain","ADF","ADE AVIACION"
"Arrendaminetos y Transportes Turisticos","","Mexico","ADT","ARRENDA-TRANS"
"Avio Delta","","Bulgaria","ADZ",""
"ADC Airways","defunct","Lebanon","ADW",""
"Aie Experience Flight","defunct","United Kingdom","AED","AIE EXPERIENCE"
"Aernord","defunct","Italy","AED","Aernspa"
"Air East","defunct","Slovakia","AEG","AIR EAST"
"Air Italy Polska","","Poland","AEI","POLISH BIRD"
"Aero Costa Rica","Ceased operations","Costa Rica","AEK","ACORISA"
"Aerosur Paraguay","","Paraguay","AES","AEROPARAGUAY"
"Aerotime","defunct","United Kingdom","AET","AEROTIME"
"Africa Airways","","Benin","AFF","AFRIWAYS"
"Air Four","","Italy","AFM",""
"Air Florida","relaunching","United States","FLA","PALM"
"Air Arabia Maroc","This ICAO designator was previously used by Malta Air Charter","Morocco","MAC","ARABIA MAROC"
"Air Do","","Japan","ADO","AIR DO"
"Air Marine","","France","MRY","AIR MARINE"
"Air Pink","","Serbia","PNK","AIRPINK"
"African International Airlines","","Lesotho","AFN","SIMBA"
"Aberdair Aviation","","Kenya","BDV","ABERDAV"
"Absolute Flight Services","","South Africa","TTN","TITANIUM"
"Ace Air","","South Korea","ATZ","ACE TAXI"
"Acero Taxi","","Mexico","ARO","ACERO"
"Acropolis Aviation","","United Kingdom","CRV","ACROPOLIS"
"AD Astra Executive Charter","","Poland","ADC","AD ASTRA"
"Addis Airlines","","Ethiopia","DDS","ADDIS LINE"
"ADI Shuttle Group","","United States","TEC","TECHJET"
"Advance Air Luftfahrtgesellschaft","","Germany","AXX","SKY SHUTTLE"
"Advance Aviation","","Thailand","AAX","ADVANCE AVIATION"
"Advanced Flight Training","","United Kingdom","ADV","ADVANCED"
"Adventia","","Spain","DVN",""
"AEG Aviation Services","","United States","EBS",""
"Aeralp","","France","ALS","AERALP"
"Aerea","","Spain","AEF",""
"Aereo Dorado","","Mexico","DRD","AEREO DORADO"
"Aereo Futuro","","Mexico","FUT","AEREO FUTURO"
"Aereo Ruta Maya","","Guatemala","MMG","RUTA MAYA"
"Aereo Transportes Los Angeles de America","","Mexico","AGI","ANGELES AMERICA"
"Aereo WWG","","Mexico","WWG","AERO-W"
"Aero Clinker","","Mexico","AKR","AERO CLINKER"
"Aero Club de Castellon","","Spain","RRB",""
"Aero Corporate","","Côte d'Ivoire","ARP","IVORYCORP"
"Aero Elite Acapulco","","Mexico","EPU","ELITACAPULCO"
"Aero Express","","Niger","XPN",""
"Aero Jet","","Angola","TEJ",""
"Aero Service Bolivia","","Bolivia","GHM",""
"Aero Services Mali","","Mali","GLM","GLOBAL MALI"
"Aero Servicio Guerrero","","Mexico","GUE","AERO GUERRERO"
"Aero-Beta","","Germany","ABA","AEROBETA"
"Aeroaljarafe","","Spain","AJH","ALJARAFE"
"Aerocaribe Coro","","Venezuela","AOB","CARIBE CORO"
"Aerocharter","defunct","Guatemala","ERC",""
"Aeroclub Barcelona-Sabadell","","Spain","BSO",""
"Aeroclub de Albacete","","Spain","NVA",""
"Aeroclub de Alicante","","Spain","LUE",""
"Aeroclub de Mallorca","","Spain","MLL","MALLORCA"
"Aeroclub de Vitoria","","Spain","AVX",""
"Aerocorporativos","","Mexico","CTD","AEROCORPORATIVOS"
"Aerocredo","","Russia","RRO",""
"Aerofaq","","Ecuador","FAQ",""
"Aeroflot-Plus","","Russia","PLS","AEROPLUS"
"Aerolimousine","","Russia","LIN","AEROLIMOUSINE"
"Aerolínea Principal Chile","","Chile","PCP","PRINCIPAL"
"Aerolíneas Centrales","","Mexico","ALT","AERLINEAS CENTRALES"
"Aerolíneas Damojh","","Mexico","DMJ","DAMOJH"
"Aerolíneas Hidalgo","","Mexico","AHL","HIDALGO"
"Aerologic","","Russia","LDL",""
"Aerolíneas Primordiales","","Mexico","APR","AEROPERLAS"
"Aeronautic de Los Pirineos","","Spain","VSC",""
"AIRDO","","Japan","ADO","AIR DO"
"Aviation West Charters","2015","United States","AGM","ANGEL MED"
"Avion Express","Name changed from Nordic Solutions Air","Lithuania","NVD","NORDVIND"
"The Amiri Flight","","Bahrain","BAH","BAHRAIN"
"Álamo Aviación, S.L.","","Spain","AVD","ALAMO"
"B-Air Charter","2014","Germany","BBF","SPEEDCHARTER"
"Beijing Capital Airlines","","China","CBJ","CAPITAL JET"
"Beijing Eofa International Jet","2014","China","OUF",""
"Business Aviators","2014","United States","OTA","OUTLAW"
"Bluewest Helicopters-Greenland","","Denmark","BWD","BLUEWEST"
"Bell Aliant Regional Communications","","Canada","TBL","TELCO"
"Beijing City International Jet","","China","CWR","CITY WORLD"
"Beijing Vistajet Aviation","","China","BJV","BEIJING VISTA"
"Blu Halkin","","United Kingdom","BHK","BLUEHAKIN"
"Brixtel Group","","United States","BXJ","BRIXTEL JET"
"Bygone Aviation","","United States","BYG","BYGONE"
"Backbone A/S","","Denmark","BOB","BACKBONE"
"Batik Air","","Indonesia","BTK","BATIK"
"Blue Air Lines","","South Korea","BBJ","BLUE KOREA"
"Blue Jet Charters","","Poland","BCJ","BLUE BOY"
"Bun Air Corporation","","United States","BNA","BUN AIR"
"Bearing Supplies Limited","","United Kingdom","PVO","PROVOST"
"Balkan Agro Aviation","","Bulgaria","BAA","BALKAN AGRO"
"Bahrain Air BSC (Closed)","","Bahrain","BAB","AWAL"
"BAC Leasing Limited","","United Kingdom","BAC",""
"BAE Systems","Corporate Air Travel","United Kingdom","BAE","FELIX"
"Belgian Air Force","","Belgium","BAF","BELGIAN AIRFORCE"
"Baker Aviation","","United States","BAJ","RODEO"
"Blackhawk Airways","","United States","BAK","BLACKHAWK"
"Belle Air Europe","Previously Britannia Airways","Italy","BAL","BELLEAIR EUROPE"
"Britannia Airways","Defunct","United Kingdom","BAL","BRITANNIA"
"Business Air Services","","Canada","BAM","BUSINESS AIR"
"British Antarctic Survey","","United Kingdom","BAN","PENGUIN"
"Bradly Air (Charter) Services","","Canada","BAR","BRADLEY"
"Bissau Airlines","","Guinea-Bissau","BAU","AIR BISSAU"
"Bay Aviation Ltd","","Bangladesh","BAV","BAY AIR"
"British Airways","","United Kingdom","BAW","SPEEDBIRD"
"Best Aero Handling Ltd","","Russia","BAX",""
"Bayon Airlines","","Cambodia","BAY","BAYON"
"Bannert Air","","Austria","BBA","BANAIR"
"Biman Bangladesh Airlines","","Bangladesh","BBC","BANGLADESH"
"Bluebird Cargo","","Iceland","BBD","BLUE CARGO"
"Beibars CJSC","","Kazakhstan","BBS","BEIBARS"
"Bravo Airlines","","Spain","BBV","BRAVO EUROPE"
"Bluebird Aviation","","Kenya","BBZ","COBRA"
"BACH Flugbetriebsges","","Austria","BCF","BACH"
"Blue Islands","","United Kingdom","BCI","BLUE ISLAND"
"British Caribbean Airways","defunct","United Kingdom","BCL",""
"British Charter","","United Kingdom","BCR","BACKER"
"BCT Aviation","","United Kingdom","BCT","BOBCAT"
"Business Aviation Center","","Ukraine","BCV","BUSINESS AVIATION"
"CityJet","","Ireland","BCY","CITY JET"
"Blue Dart Aviation","","India","BDA","BLUE DART"
"B&H Airlines","","Bosnia and Herzegovina","BON","Air Bosna"
"Bissau Discovery Flying Club","","Guinea-Bissau","BDF","BISSAU DISCOVERY"
"Belgian Army","","Belgium","AYB","BELGIAN ARMY"
"Badr Airlines","","Sudan","BDR","BADR AIR"
"Best Aviation Ltd","","Bangladesh","BEA","BEST AIR"
"Belgorod Aviation Enterprise","","Russia","BED","BELOGORYE"
"Bar Harbor Airlines","","United States","AJC","BAR HARBOR"
"Balear Express","","Spain","BEF","BALEAR EXPRESS"
"Bel Air Helicopters","","Denmark","BEH","BLUECOPTER"
"Berkut Air","","Kazakhstan","BEK","BERKUT"
"BETA - Brazilian Express Transportes Aéreos","","Brazil","BET","BETA CARGO"
"Basler Flight Service","","United States","BFC","BASLER"
"Bear Flight","","Sweden","BFG","BEARFLIGHT"
"Buffalo Airways","","Canada","BFL","BUFFALO"
"Bombardier","","Canada","BFO","BOMBARDIER"
"Burkina Airlines","","Burkina Faso","BFR","BURKLINES"
"Business Flight Sweden","","Sweden","BFS","BUSINESS FLIGHT"
"Bahrain Defence Force","","Bahrain","BFW","SUMMAN"
"BH Air","","Bulgaria","BGH","BALKAN HOLIDAYS"
"British Gulf International","","São Tomé and Príncipe","BGI","BRITISH GULF"
"British Gulf International-Fez","","Kyrgyzstan","BGK","GULF INTER"
"Benin Golf Air","","Benin","BGL","BENIN GOLF"
"Bugulma Air Enterprise","","Russia","BGM","BUGAVIA"
"Budget Air Bangladesh","","Bangladesh","BGR","BUDGET AIR"
"Bergen Air Transport","","Norway","BGT","BERGEN AIR"
"Buddha Air","","Nepal","BHA","BUDDHA AIR"
"Balkh Airlines","","Afghanistan","BHI","SHARIF"
"Bristow Helicopters","","United Kingdom","BHL","BRISTOW"
"Bristow Helicopters Nigeria","","Nigeria","BHN","BRISTOW HELICOPTERS"
"Bhoja Airlines","","Pakistan","BHO","BHOJA"
"Belair Airlines","","Switzerland","BHP","BELAIR"
"Bighorn Airways","","United States","BHR","BIGHORN AIR"
"Bahamasair","","Bahamas","BHS","BAHAMAS"
"Bright Air","","Netherlands","BHT","BRIGHTAIR"
"Bringer Air Cargo Taxi Aéreo","","Brazil","",""
"Balkan Bulgarian Airlines","defunct","Bulgaria","",""
"BA Connect","","United Kingdom","",""
"Bosphorus European Airways","","Turkey","BHY","BOSPHORUS"
"Binair","","Germany","BID","BINAIR"
"Big Island Air","","United States","BIG","BIG ISLE"
"British International Helicopters","","United Kingdom","BIH","BRINTEL"
"Billund Air Center","","Denmark","BIL","BILAIR"
"Boise Interagency Fire Center","","United States","BIN","BISON-AIR"
"Bioflight A/S","","Denmark","BIO","BIOFLIGHT"
"Bird Leasing","","United States","BIR","BIRD AIR"
"Bizjet Ltd","","United Kingdom","BIZ","BIZZ"
"Baja Air","","Mexico","BJA","BAJA AIR"
"Baltic Jet Aircompany","","Latvia","BJC","BALTIC JET"
"Business Jet Solutions","","United States","BJS","SOLUTION"
"Bankair","","United States","BKA","BANKAIR"
"BF-Lento OY","","Finland","BKF","BAKERFLIGHT"
"Blink","","United Kingdom","BKK","BLINKAIR"
"Barken International","","United States","BKJ","BARKEN JET"
"Bangkok Airways","","Thailand","BKP","BANGKOK AIR"
"Bukovyna","","Ukraine","BKV","BUKOVYNA"
"Blue Bird Aviation","","Sudan","BLB","BLUEBIRD SUDAN"
"Bellesavia","","Belarus","BLC","BELLESAVIA"
"Blue Line","","France","BLE","BLUE BERRY"
"Blue1","","Finland","BLF","BLUEFIN"
"Belgavia","","Belgium","BLG","BELGAVIA"
"Blue Horizon Travel Club","","United States","BLH","BLUE HORIZON"
"Blue Jet","","Spain","BLJ","BLUEWAY"
"Baltic Airlines","","Russia","BLL","BALTIC AIRLINES"
"Bali International Air Service","","Indonesia","BLN","BIAR"
"Bearskin Lake Air Service","","Canada","BLS","BEARSKIN"
"Baltic Aviation","","United States","BLT","BALTAIR"
"Bellview Airlines","","Nigeria","BLV","BELLVIEW AIRLINES"
"BMI","Ceased operations","United Kingdom","BMA","MIDLAND"
"BMI Regional","","United Kingdom","BMR","MIDLAND"
"British Medical Charter","","United Kingdom","BMD","BRITISH MEDICAL"
"Briggs Marine Environmental Services","","United Kingdom","BME","BRIGGS"
"Bristow Masayu Helicopters","","Indonesia","BMH","MASAYU"
"Bmibaby","Ceased operations","United Kingdom","BMI","BABY"
"Bemidji Airlines","","United States","BMJ","BEMIDJI"
"Bismillah Airlines","","Bangladesh","BML","BISMILLAH"
"Bowman Aviation","","United States","BMN","BOWMAN"
"BMW","","Germany","BMW","BMW-FLIGHT"
"Banco de Mexico","","Mexico","BMX","BANXICO"
"Bond Offshore Helicopters","","United Kingdom","BND","BOND"
"Benina Air","","Libya","BNE","BENINA AIR"
"BN Group Limited","","United Kingdom","BNG","VECTIS"
"Blue Nile Ethiopia Trading","","Ethiopia","BNL","NILE TRADING"
"Bonair Aviation","","Canada","BNR","BONAIR"
"Bancstar - Valley National Corporation","","United States","BNS","BANCSTAR"
"Bentiu Air Transport","","Sudan","BNT","BENTIU AIR"
"Benane Aviation Corporation","","Mauritania","BNV","BENANE"
"British North West Airlines","","United Kingdom","BNW","BRITISH NORTH"
"Boniair","","Macedonia","BOA","KUMANOVO"
"Bond Air Services","","Uganda","BOD","UGABOND"
"Boeing","","United States","BOE","BOEING"
"Bordaire","","Canada","BOF","BORDAIR"
"Bookajet Limited","","United Kingdom","BOO","BOOKAJET"
"Bouraq Indonesia Airlines","","Indonesia","BOU","BOURAQ"
"Blue Panorama Airlines","","Italy","BPA","BLUE PANOROMA"
"Berkhut ZK","","Kazakhstan","BPK","VENERA"
"Bundespolizei-Fliegertruppe","","Germany","BPO","PIROL"
"Budapest Aircraft Services/Manx2","","Hungary","BPS","BASE"
"Bonus Aviation","","United Kingdom","BPT","BONUS"
"British Petroleum Exploration","","Colombia","BPX",""
"BRA-Transportes Aéreos","","Brazil","BRB","BRA-TRANSPAEREOS"
"Brock Air Services","","Canada","BRD","BROCK AIR"
"Breeze Ltd","","Ukraine","BRE","AVIABREEZE"
"Bering Air","","United States","BRG","BERING AIR"
"Briansk State Air Enterprise","","Russia","BRK","BRIANSK-AVIA"
"Branson Airlines","","United States","BRN","BRANSON"
"BASE Regional Airlines","","Netherlands","BRO","COASTRIDER"
"Brazilian Air Force","","Brazil","BRS","BRAZILIAN AIR FORCE"
"British Regional Airlines","","United Kingdom","BRT","BRITISH"
"Belavia Belarusian Airlines","","Belarus","BRU","BELARUS AVIA"
"Bravo Air Congo","defunct","Democratic Republic of the Congo","BRV","BRAVO"
"Bright Aviation Services","","Bulgaria","BRW","BRIGHT SERVICES"
"Braniff International Airways","defunct","United States","BNF","Braniff"
"Buffalo Express Airlines","","United States","BRX","BUFF EXPRESS"
"Burundayavia","","Kazakhstan","BRY","BURAIR"
"Bistair - Fez","","Kyrgyzstan","BSC","BIG SHOT"
