"SEC filings","Address of Headquarters","CIK","GICS Sector","Ticker symbol","Security"
"reports","Eden Prairie, Minnesota","0001043277","Industrials","CHRW","C. H. Robinson Worldwide"
"reports","Islandia, New York","0000356028","Information Technology","CA","CA, Inc."
"reports","Houston, Texas","0000858470","Energy","COG","Cabot Oil & Gas"
"reports","Camden, New Jersey","0000016732","Consumer Staples","CPB","Campbell Soup"
"reports","Tysons Corner, Virginia","0000927628","Financials","COF","Capital One Financial"
"reports","Dublin, Ohio","0000721371","Health Care","CAH","Cardinal Health Inc."
"reports","Melville, New York","0001000228","Health Care","HSIC","Henry Schein"
"reports","Richmond, Virginia","0001170010","Consumer Discretionary","KMX","Carmax Inc"
"reports","Miami, Florida","0000815097","Consumer Discretionary","CCL","Carnival Corp."
"reports","Peoria, Illinois","0000018230","Industrials","CAT","Caterpillar Inc."
"reports","Los Angeles, California","0001138118","Financials","CBG","CBRE Group"
"reports","New York, New York","0000813828","Consumer Discretionary","CBS","CBS Corp."
"reports","Summit, New Jersey","0000816284","Health Care","CELG","Celgene Corp."
"reports","St Louis, Missouri","0001071739","Health Care","CNC","Centene Corporation"
"reports","Houston, Texas","0001130310","Utilities","CNP","CenterPoint Energy"
"reports","Monroe, Louisiana","0000018926","Telecommunications Services","CTL","CenturyLink Inc"
"reports","North Kansas City, Missouri","0000804753","Health Care","CERN","Cerner"
"reports","Deerfield, Illinois","0001324404","Materials","CF","CF Industries Holdings Inc"
"reports","San Francisco, California","0000316709","Financials","SCHW","Charles Schwab Corporation"
"reports","Stamford, Connecticut","0001091667","Consumer Discretionary","CHTR","Charter Communications"
"reports","Oklahoma City, Oklahoma","0000895126","Energy","CHK","Chesapeake Energy"
"reports","San Ramon, California","0000093410","Energy","CVX","Chevron Corp."
"reports","Denver, Colorado","0001058090","Consumer Discretionary","CMG","Chipotle Mexican Grill"
"reports","Zurich, Switzerland","0000896159","Financials","CB","Chubb Limited"
"reports","Ewing, New Jersey","0000313927","Consumer Staples","CHD","Church & Dwight"
"reports","Philadelphia, Pennsylvania","0000701221","Health Care","CI","CIGNA Corp."
"reports","Denver, Colorado","0001168054","Energy","XEC","Cimarex Energy"
"reports","Fairfield, Ohio","0000020286","Financials","CINF","Cincinnati Financial"
"reports","Mason, Ohio","0000723254","Industrials","CTAS","Cintas Corporation"
"reports","San Jose, California","0000858877","Information Technology","CSCO","Cisco Systems"
"reports","New York, New York","0000831001","Financials","C","Citigroup Inc."
"reports","Fort Lauderdale, Florida","0000877890","Information Technology","CTXS","Citrix Systems"
"reports","Oakland, California","0000021076","Consumer Staples","CLX","The Clorox Company"
"reports","Chicago, Illinois","0001156375","Financials","CME","CME Group Inc."
"reports","Jackson, Michigan","0000811156","Utilities","CMS","CMS Energy"
"reports","New York, New York","0001116132","Consumer Discretionary","COH","Coach Inc."
"reports","Atlanta, Georgia","0000021344","Consumer Staples","KO","The Coca Cola Company"
"reports","Teaneck, New Jersey","0001058290","Information Technology","CTSH","Cognizant Technology Solutions"
"reports","New York, New York","0000021665","Consumer Staples","CL","Colgate-Palmolive"
"reports","Philadelphia, Pennsylvania","0001166691","Consumer Discretionary","CMCSA","Comcast A Corp"
"reports","Dallas, Texas","0000028412","Financials","CMA","Comerica Inc."
"reports","Omaha, Nebraska","0000023217","Consumer Staples","CAG","ConAgra Foods Inc."
"reports","Midland, Texas","0001358071","Energy","CXO","Concho Resources"
"reports","Houston, Texas","0001163165","Energy","COP","ConocoPhillips"
"reports","New York, New York","0001047862","Utilities","ED","Consolidated Edison"
"reports","Victor, New York","0000016918","Consumer Staples","STZ","Constellation Brands"
"reports","Corning, New York","0000024741","Industrials","GLW","Corning Inc."
"reports","Issaquah, Washington","0000909832","Consumer Staples","COST","Costco Co."
"reports","New York, NY","0001024305","Consumer Staples","COTY","Coty, Inc"
"reports","Houston, Texas","0001051470","Financials","CCI","Crown Castle International Corp."
"reports","Falls Church, Virginia","0001646383","Information Technology","CSRA","CSRA Inc."
"reports","Jacksonville, Florida","0000277948","Industrials","CSX","CSX Corp."
"reports","Columbus, Indiana","0000026172","Industrials","CMI","Cummins Inc."
"reports","Woonsocket, Rhode Island","0000064803","Consumer Staples","CVS","CVS Health"
"reports","Fort Worth, Texas","0000882184","Consumer Discretionary","DHI","D. R. Horton"
"reports","Washington, D.C.","0000313616","Industrials","DHR","Danaher Corp."
"reports","Orlando, Florida","0000940944","Consumer Discretionary","DRI","Darden Restaurants"
"reports","Denver, Colorado","0000927066","Health Care","DVA","DaVita Inc."
"reports","Moline, Illinois","0000315189","Industrials","DE","Deere & Co."
"reports","Gillingham, Kent, United Kingdom","0001521332","Consumer Discretionary","DLPH","Delphi Automotive"
"reports","Atlanta, Georgia","0000027904","Industrials","DAL","Delta Air Lines"
"reports","York, Pennsylvania","0000818479","Health Care","XRAY","Dentsply Sirona"
"reports","Oklahoma City, Oklahoma","0001090012","Energy","DVN","Devon Energy Corp."
"reports","San Francisco, California","0001297996","Financials","DLR","Digital Realty Trust"
"reports","Riverwoods, Illinois","0001393612","Financials","DFS","Discover Financial Services"
"reports","Silver Spring, Maryland","0001437107","Consumer Discretionary","DISCA","Discovery Communications-A"
"reports","Silver Spring, Maryland","0001437107","Consumer Discretionary","DISCK","Discovery Communications-C"
"reports","Goodlettsville, Tennessee","0000029534","Consumer Discretionary","DG","Dollar General"
"reports","Chesapeake, Virginia","0000935703","Consumer Discretionary","DLTR","Dollar Tree"
"reports","Richmond, Virginia","0000715957","Utilities","D","Dominion Resources"
"reports","Downers Grove, Illinois","0000029905","Industrials","DOV","Dover Corp."
"reports","Midland, Michigan","0000029915","Materials","DOW","Dow Chemical"
"reports","Plano, Texas","0001418135","Consumer Staples","DPS","Dr Pepper Snapple Group"
"reports","Detroit, Michigan","0000936340","Utilities","DTE","DTE Energy Co."
"reports","Wilmington, Delaware","0000030554","Materials","DD","Du Pont (E.I.)"
"reports","Charlotte, North Carolina","0001326160","Utilities","DUK","Duke Energy"
"reports","Short Hills, New Jersey","0001115222","Industrials","DNB","Dun & Bradstreet"
"reports","New York, New York","0001015780","Financials","ETFC","E*Trade"
"reports","Kingsport, Tennessee","0000915389","Materials","EMN","Eastman Chemical"
"reports","Dublin, Ireland","0001551182","Industrials","ETN","Eaton Corporation"
"reports","San Jose, California","0001065088","Information Technology","EBAY","eBay Inc."
"reports","St. Paul, Minnesota","0000031462","Materials","ECL","Ecolab Inc."
"reports","Rosemead, California","0000827052","Utilities","EIX","Edison Int'l"
"reports","Irvine, California","0001099800","Health Care","EW","Edwards Lifesciences"
"reports","Redwood City, California","0000712515","Information Technology","EA","Electronic Arts"
"reports","Ferguson, Missouri","0000032604","Industrials","EMR","Emerson Electric Company"
"reports","Dublin, Ireland","0001100962","Health Care","ENDP","Endo International"
"reports","New Orleans, Louisiana","0000065984","Utilities","ETR","Entergy Corp."
"reports","Houston, Texas","0000821189","Energy","EOG","EOG Resources"
"reports","Pittsburgh, Pennsylvania","0000033213","Energy","EQT","EQT Corporation"
"reports","Atlanta, Georgia","0000033185","Financials","EFX","Equifax Inc."
"reports","Redwood City, California","0001101239","Information Technology","EQIX","Equinix"
"reports","Chicago, Illinois","0000906107","Financials","EQR","Equity Residential"
"reports","Palo Alto, California","0000920522","Financials","ESS","Essex Property Trust Inc"
"reports","New York, New York","0001001250","Consumer Staples","EL","Estee Lauder Cos."
"reports","Springfield, Massachusetts","0000072741","Utilities","ES","Eversource Energy"
"reports","Chicago, Illinois","0001109357","Utilities","EXC","Exelon Corp."
"reports","Bellevue, Washington","0001324424","Consumer Discretionary","EXPE","Expedia Inc."
"reports","Seattle, Washington","0000746515","Industrials","EXPD","Expeditors Int'l"
"reports","Cool Valley, Missouri","0001532063","Health Care","ESRX","Express Scripts"
"reports","Salt Lake City, UT","0001289490","Financials","EXR","Extra Space Storage"
"reports","Irving, Texas","0000034088","Energy","XOM","Exxon Mobil Corp."
"reports","Seattle, Washington","0001048695","Information Technology","FFIV","F5 Networks"
"reports","Menlo Park, California","0001326801","Information Technology","FB","Facebook"
"reports","Winona, Minnesota","0000815556","Industrials","FAST","Fastenal Co"
"reports","Rockville, Maryland","0000034903","Financials","FRT","Federal Realty Investment Trust"
"reports","Memphis, Tennessee","0001048911","Industrials","FDX","FedEx Corporation"
"reports","Jacksonville, Florida","0001136893","Information Technology","FIS","Fidelity National Information Services"
"reports","Cincinnati, Ohio","0000035527","Financials","FITB","Fifth Third Bancorp"
"reports","Tempe, Arizona","0001274494","Information Technology","FSLR","First Solar Inc"
"reports","Akron, Ohio","0001031296","Utilities","FE","FirstEnergy Corp"
"reports","Brookfield, Wisconsin","0000798354","Information Technology","FISV","Fiserv Inc"
"reports","Wilsonville, Oregon","0000354908","Industrials","FLIR","FLIR Systems"
"reports","Irving, Texas","0000030625","Industrials","FLS","Flowserve Corporation"
"reports","Irving, Texas","0001124198","Industrials","FLR","Fluor Corp."
"reports","Philadelphia, Pennsylvania","0000037785","Materials","FMC","FMC Corporation"
"reports","Houston, Texas","0001135152","Energy","FTI","FMC Technologies Inc."
"reports","New York, New York","0000850209","Consumer Discretionary","FL","Foot Locker Inc"
"reports","Dearborn, Michigan","0000037996","Consumer Discretionary","F","Ford Motor"
"reports","Everett, Washington","0001659166","Industrials","FTV","Fortive Corp"
"reports","Deerfield, Illinois","0001519751","Industrials","FBHS","Fortune Brands Home & Security"
"reports","San Mateo, California","0000038777","Financials","BEN","Franklin Resources"
"reports","Phoenix, Arizona","0000831259","Materials","FCX","Freeport-McMoran Cp & Gld"
"reports","Stamford, Connecticut","0000020520","Telecommunications Services","FTR","Frontier Communications"
"reports","San Francisco, California","0000039911","Consumer Discretionary","GPS","Gap (The)"
"reports","Schaffhausen, Switzerland","0001121788","Consumer Discretionary","GRMN","Garmin Ltd."
"reports","Falls Church, Virginia","0000040533","Industrials","GD","General Dynamics"
"reports","Fairfield, Connecticut","0000040545","Industrials","GE","General Electric"
"reports","Chicago, Illinois","0000895648","Financials","GGP","General Growth Properties Inc."
"reports","Golden Valley, Minnesota","0000040704","Consumer Staples","GIS","General Mills"
"reports","Detroit, Michigan","0001467858","Consumer Discretionary","GM","General Motors"
"reports","Atlanta, Georgia","0000040987","Consumer Discretionary","GPC","Genuine Parts"
"reports","Foster City, California","0000882095","Health Care","GILD","Gilead Sciences"
"reports","Atlanta, Georgia","0001123360","Information Technology","GPN","Global Payments Inc"
"reports","New York, New York","0000886982","Financials","GS","Goldman Sachs Group"
"reports","Akron, Ohio","0000042582","Consumer Discretionary","GT","Goodyear Tire & Rubber"
"reports","Lake Forest, Illinois","0000277135","Industrials","GWW","Grainger (W.W.) Inc."
"reports","Houston, Texas","0000045012","Energy","HAL","Halliburton Co."
"reports","Winston-Salem, North Carolina","0001359841","Consumer Discretionary","HBI","Hanesbrands Inc"
"reports","Milwaukee, Wisconsin","0000793952","Consumer Discretionary","HOG","Harley-Davidson"
"reports","Stamford, Connecticut","0000800459","Consumer Discretionary","HAR","Harman Int'l Industries"
"reports","Melbourne, Florida","0000202058","Information Technology","HRS","Harris Corporation"
"reports","Hartford, Connecticut","0000874766","Financials","HIG","Hartford Financial Svc.Gp."
"reports","Pawtucket, Rhode Island","0000046080","Consumer Discretionary","HAS","Hasbro Inc."
"reports","Nashville, Tennessee","0000860730","Health Care","HCA","HCA Holdings"
"reports","Long Beach, California","0000765880","Financials","HCP","HCP Inc."
"reports","Tulsa, Oklahoma","0000046765","Energy","HP","Helmerich & Payne"
"reports","New York, New York","0000004447","Energy","HES","Hess Corporation"
"reports","Palo Alto, California","0001645590","Information Technology","HPE","Hewlett Packard Enterprise"
"reports","Marlborough, Massachusetts","0000859737","Health Care","HOLX","Hologic"
"reports","Atlanta, Georgia","0000354950","Consumer Discretionary","HD","Home Depot"
"reports","Morristown, New Jersey","0000773840","Industrials","HON","Honeywell Int'l Inc."
"reports","Austin, Minnesota","0000048465","Consumer Staples","HRL","Hormel Foods Corp."
"reports","Bethesda, Maryland","0001070750","Financials","HST","Host Hotels & Resorts"
"reports","Palo Alto, California","0000047217","Information Technology","HPQ","HP Inc."
"reports","Louisville, Kentucky","0000049071","Health Care","HUM","Humana Inc."
"reports","Columbus, Ohio","0000049196","Financials","HBAN","Huntington Bancshares"
"reports","Glenview, Illinois","0000049826","Industrials","ITW","Illinois Tool Works"
"reports","San Diego, California","0001110803","Health Care","ILMN","Illumina Inc"
"reports","Dublin, Ireland","0001466258","Industrials","IR","Ingersoll-Rand PLC"
"reports","Santa Clara, California","0000050863","Information Technology","INTC","Intel Corp."
"reports","Atlanta, Georgia","0001571949","Financials","ICE","Intercontinental Exchange"
"reports","Armonk, New York","0000051143","Information Technology","IBM","International Bus. Machines"
"reports","Memphis, Tennessee","0000051434","Materials","IP","International Paper"
"reports","New York, New York","0000051644","Consumer Discretionary","IPG","Interpublic Group"
"reports","New York, New York","0000051253","Materials","IFF","Intl Flavors & Fragrances"
"reports","Mountain View, California","0000896878","Information Technology","INTU","Intuit Inc."
"reports","Sunnyvale, California","0001035267","Health Care","ISRG","Intuitive Surgical Inc."
"reports","Atlanta, Georgia","0000914208","Financials","IVZ","Invesco Ltd."
"reports","Boston, Massachusetts","0001020569","Industrials","IRM","Iron Mountain Incorporated"
"reports","Pasadena, California","0000052988","Industrials","JEC","Jacobs Engineering Group"
"reports","Lowell, Arkansas","0000728535","Industrials","JBHT","J. B. Hunt Transport Services"
"reports","New Brunswick, New Jersey","0000200406","Health Care","JNJ","Johnson & Johnson"
"reports","Milwaukee, Wisconsin","0000833444","Consumer Discretionary","JCI","Johnson Controls International Plc"
"reports","New York, New York","0000019617","Financials","JPM","JPMorgan Chase & Co."
"reports","Sunnyvale, California","0001043604","Information Technology","JNPR","Juniper Networks"
"reports","Kansas City, Missouri","0000054480","Industrials","KSU","Kansas City Southern"
"reports","Battle Creek, Michigan","0000055067","Consumer Staples","K","Kellogg Co."
"reports","Cleveland, Ohio","0000091576","Financials","KEY","KeyCorp"
"reports","Irving, Texas","0000055785","Consumer Staples","KMB","Kimberly-Clark"
"reports","New Hyde Park, New York","0000879101","Financials","KIM","Kimco Realty"
"reports","Houston, Texas","0001506307","Energy","KMI","Kinder Morgan"
"reports","Milpitas, California","0000319201","Information Technology","KLAC","KLA-Tencor Corp."
"reports","Menomonee Falls, Wisconsin","0000885639","Consumer Discretionary","KSS","Kohl's Corp."
"reports","Northfield, Illinois","0001545158","Consumer Staples","KHC","Kraft Heinz Co"
"reports","Cincinnati, Ohio","0000056873","Consumer Staples","KR","Kroger Co."
"reports","Columbus, Ohio","0000701985","Consumer Discretionary","LB","L Brands Inc."
"reports","New York, New York","0001056239","Industrials","LLL","L-3 Communications Holdings"
"reports","Burlington, North Carolina","0000920148","Health Care","LH","Laboratory Corp. of America Holding"
"reports","Fremont, California","0000707549","Information Technology","LRCX","Lam Research"
"reports","Baltimore, Maryland","0000704051","Financials","LM","Legg Mason"
"reports","Carthage, Missouri","0000058492","Industrials","LEG","Leggett & Platt"
"reports","Miami, Florida","0000920760","Consumer Discretionary","LEN","Lennar Corp."
"reports","Broomfield, Colorado","0000794323","Telecommunications Services","LVLT","Level 3 Communications"
"reports","New York, New York","0000096223","Financials","LUK","Leucadia National Corp."
"reports","Indianapolis, Indiana","0000059478","Health Care","LLY","Lilly (Eli) & Co."
"reports","Radnor, Pennsylvania","0000059558","Financials","LNC","Lincoln National"
"reports","Milpitas, California","0000791907","Information Technology","LLTC","Linear Technology Corp."
"reports","Chicago, Illinois","0001065696","Consumer Discretionary","LKQ","LKQ Corporation"
"reports","Bethesda, Maryland","0000936468","Industrials","LMT","Lockheed Martin Corp."
"reports","New York, New York","0000060086","Financials","L","Loews Corp."
"reports","Mooresville, North Carolina","0000060667","Consumer Discretionary","LOW","Lowe's Cos."
"reports","Rotterdam, Netherlands","0001489393","Materials","LYB","LyondellBasell"
"reports","Buffalo, New York","0000036270","Financials","MTB","M&T Bank Corp."
"reports","Santa Monica, California","0000912242","Financials","MAC","Macerich"
"reports","Cincinnati, Ohio","0000794367","Consumer Discretionary","M","Macy's Inc."
"reports","Dublin, Ireland","0001567892","Health Care","MNK","Mallinckrodt Plc"
"reports","Houston, Texas","0000101778","Energy","MRO","Marathon Oil Corp."
"reports","Findlay, Ohio","0001510295","Energy","MPC","Marathon Petroleum"
"reports","Bethesda, Maryland","0001048286","Consumer Discretionary","MAR","Marriott Int'l."
"reports","New York, New York","0000062709","Financials","MMC","Marsh & McLennan"
"reports","Raleigh, North Carolina","0000916076","Materials","MLM","Martin Marietta Materials"
"reports","Taylor, Michigan","0000062996","Industrials","MAS","Masco Corp."
"reports","Harrison, New York","0001141391","Information Technology","MA","Mastercard Inc."
"reports","El Segundo, California","0000063276","Consumer Discretionary","MAT","Mattel Inc."
"reports","Sparks, Maryland","0000063754","Consumer Staples","MKC","McCormick & Co."
"reports","Oak Brook, Illinois","0000063908","Consumer Discretionary","MCD","McDonald's Corp."
"reports","San Francisco, California","0000927653","Health Care","MCK","McKesson Corp."
"reports","Glenview, Illinois","0001452575","Consumer Staples","MJN","Mead Johnson"
"reports","Dublin, Ireland","0000064670","Health Care","MDT","Medtronic plc"
"reports","Whitehouse Station, New Jersey","0000310158","Health Care","MRK","Merck & Co."
"reports","New York, New York","0001099219","Financials","MET","MetLife Inc."
"reports","Columbus, Ohio","0001037646","Health Care","MTD","Mettler Toledo"
"reports","New York, New York","0001530721","Consumer Discretionary","KORS","Michael Kors Holdings"
"reports","Chandler, Arizona","0000827054","Information Technology","MCHP","Microchip Technology"
"reports","Boise, Idaho","0000723125","Information Technology","MU","Micron Technology"
"reports","Redmond, Washington","0000789019","Information Technology","MSFT","Microsoft Corp."
"reports","Amsterdam, New York","0000851968","Consumer Discretionary","MHK","Mohawk Industries"
"reports","Denver, Colorado","0000024545","Consumer Staples","TAP","Molson Coors Brewing Company"
"reports","Northfield, Illinois","0001103982","Consumer Staples","MDLZ","Mondelez International"
"reports","Creve Coeur, Missouri","0001110783","Materials","MON","Monsanto Co."
"reports","Corona, California","0000865752","Consumer Staples","MNST","Monster Beverage"
"reports","New York, New York","0001059556","Financials","MCO","Moody's Corp"
"reports","New York, New York","0000895421","Financials","MS","Morgan Stanley"
"reports","Plymouth, Minnesota","0001285785","Materials","MOS","The Mosaic Company"
"reports","Schaumburg, Illinois","0000068505","Information Technology","MSI","Motorola Solutions Inc."
"reports","El Dorado, Arkansas","0000717423","Energy","MUR","Murphy Oil"
"reports","Amsterdam, Netherlands","0000069499","Health Care","MYL","Mylan N.V."
"reports","New York, New York","0001120193","Financials","NDAQ","NASDAQ OMX Group"
"reports","Houston, Texas","0001021860","Energy","NOV","National Oilwell Varco Inc."
"reports","Newark, Delaware","0001593538","Financials","NAVI","Navient"
"reports","Sunnyvale, California","0001002047","Information Technology","NTAP","NetApp"
"reports","Los Gatos, California","0001065280","Information Technology","NFLX","Netflix Inc."
"reports","Sandy Springs, Georgia","0000814453","Consumer Discretionary","NWL","Newell Rubbermaid Co."
"reports","Houston, Texas","0000912750","Energy","NFX","Newfield Exploration Co"
"reports","Denver, Colorado","0001164727","Materials","NEM","Newmont Mining Corp. (Hldg. Co.)"
"reports","New York, New York","0001564708","Consumer Discretionary","NWSA","News Corp. Class A"
"reports","New York, New York","0001564708","Consumer Discretionary","NWS","News Corp. Class B"
"reports","Juno Beach, Florida","0000753308","Utilities","NEE","NextEra Energy"
"reports","New York, New York","0001492633","Industrials","NLSN","Nielsen Holdings"
"reports","Washington County, Oregon","0000320187","Consumer Discretionary","NKE","Nike"
"reports","Merrillville, Indiana","0001111711","Utilities","NI","NiSource Inc."
"reports","Houston, Texas","0000072207","Energy","NBL","Noble Energy Inc"
"reports","Seattle, Washington","0000072333","Consumer Discretionary","JWN","Nordstrom"
"reports","Norfolk, Virginia","0000702165","Industrials","NSC","Norfolk Southern Corp."
"reports","Chicago, Illinois","0000073124","Financials","NTRS","Northern Trust Corp."
"reports","West Falls Church, Virginia","0001133421","Industrials","NOC","Northrop Grumman Corp."
"reports","Princeton, New Jersey","0001013871","Utilities","NRG","NRG Energy"
"reports","Charlotte, North Carolina","0000073309","Materials","NUE","Nucor Corp."
"reports","Santa Clara, California","0001045810","Information Technology","NVDA","Nvidia Corporation"
"reports","Springfield, Missouri","0000898173","Consumer Discretionary","ORLY","O'Reilly Automotive"
"reports","Los Angeles, California","0000797468","Energy","OXY","Occidental Petroleum"
"reports","New York, New York","0000029989","Consumer Discretionary","OMC","Omnicom Group"
"reports","Tulsa, Oklahoma","0001039684","Energy","OKE","ONEOK"
"reports","Redwood Shores, California","0001341439","Information Technology","ORCL","Oracle Corp."
"reports","Perrysburg, Ohio","0000812074","Materials","OI","Owens-Illinois Inc"
"reports","Bellevue, Washington","0000075362","Industrials","PCAR","PACCAR Inc."
"reports","Cleveland, Ohio","0000076334","Industrials","PH","Parker-Hannifin"
"reports","St. Paul, Minnesota","0000891024","Health Care","PDCO","Patterson Companies"
"reports","Penfield, New York","0000723531","Information Technology","PAYX","Paychex Inc."
"reports","San Jose, California","0001633917","Information Technology","PYPL","PayPal"
"reports","Worsley, UK","0000077360","Industrials","PNR","Pentair Ltd."
"reports","Bridgeport, Connecticut","0001378946","Financials","PBCT","People's United Financial"
"reports","Purchase, New York","0000077476","Consumer Staples","PEP","PepsiCo Inc."
"reports","Waltham, Massachusetts","0000031791","Health Care","PKI","PerkinElmer"
"reports","Dublin, Ireland","0001585364","Health Care","PRGO","Perrigo"
