"Title","Genre","Publisher(s)","Developer(s)"
"Italian Job !The Italian Job","","Eidos Interactive","Climax Group"
"Intellivision Lives!","","Crave Entertainment","Realtime Associates"
"International Superstar Soccer 2","","Konami","KCEO"
"Iron Phoenix","","Sega","InterServ International"
"Jacked","","Empire Interactive","Sproing"
"Jade Empire","","Microsoft Game Studios","BioWare"
"James Cameron's Dark Angel","","Sierra Entertainment","Sierra Entertainment"
"Jaws Unleashed","","Majesco Games","Appaloosa Interactive"
"Jet Set Radio Future","","SEGA","Smilebit"
"Jikkyou World Soccer 2002","","Konami","Konami"
"Jockey's Road","","Microsoft Game Studios","Progress Software"
"Judge Dredd: Dredd Vs. Death","","Evolved Games","Rebellion"
"Juiced","","THQ","Juice Games"
"Jurassic Park: Operation Genesis","","VU Games, Universal Interactive","Blue Tongue"
"Just Cause","","Eidos Interactive","Avalanche Studios"
"Justice League Heroes","","Eidos Interactive","Snowblind Studios"
"Kabuki Warriors","","Crave Entertainment","Bergsala Lightweight"
"Kakuto Chojin","","Microsoft Game Studios","Dream Publishing"
"Kao the Kangaroo: Round 2","","Atari","Tate Interactive"
"Karaoke Revolution","","Konami","Harmonix Music"
"Karaoke Revolution Party","","Konami","Harmonix Music"
"Kelly Slater's Pro Surfer","","Activision","Treyarch"
"Kikou Heidan J-Phoenix","","",""
"Kill Switch","","Namco","Namco"
"King Arthur","","Konami","Krome Studios"
"Kingdom Under Fire: Heroes","","Microsoft Game Studios","Blueside, Phantagram"
"Kingdom Under Fire: The Crusaders","","Microsoft Game Studios","Phantagram"
"King of Fighters 02/03 !The King of Fighters 02/03","","Eolith","Eolith"
"King of Fighters 2002 !The King of Fighters 2002","","Eolith","Eolith"
"King of Fighters 2003 !The King of Fighters 2003","","Eolith","Eolith"
"King of Fighters Neowave !The King of Fighters Neowave","","SNK Playmore","SNK Playmore"
"King of Fighters: Maximum Impact !The King of Fighters: Maximum Impact","","SNK NeoGeo","SNK Playmore"
"Knight's Apprentice: Memorick's Adventures","","XS Games","Microids"
"Knights of the Temple: Infernal Crusade","","TDK Mediactive","Starbreeze Studios"
"Knights of the Temple II","","Playlogic Entertainment, TDK Mediactive","Cauldron"
"Knockout Kings 2002","","EA Sports","EA Games"
"Kung Fu Chaos","","Microsoft Game Studios","Just Add Monsters"
"L.A. Rush","","Midway Games","Midway Games"
"Land of the Dead: Road to Fiddler's Green","","Groove Games","Brainbox Games"
"Largo Winch: Empire Under Threat","","Ubisoft","Dupuis"
"Legacy of Kain: Defiance","","Eidos Interactive","Crystal Dynamics"
"Legend of Spyro: A New Beginning !The Legend of Spyro: A New Beginning","","Sierra Entertainment","Krome Studios"
"Legends of Wrestling","","Acclaim Entertainment","Acclaim Entertainment"
"Legends of Wrestling II","","Acclaim Entertainment","Acclaim Entertainment"
"Lego Star Wars: The Video Game","","LucasArts","Traveller's Tales"
"Lego Star Wars II: The Original Trilogy","","LucasArts","Traveller's Tales"
"Leisure Suit Larry: Magna Cum Laude","","Sierra Entertainment","High Voltage Software"
"Lemony Snicket's A Series of Unfortunate Events","","Activision","Adrenium Games"
"Links 2004","","Microsoft Game Studios","Indie Built"
"LMA Manager 2003","","Codemasters","Codemasters"
"LMA Manager 2004","","Codemasters","Codemasters"
"LMA Manager 2005","","Codemasters","Codemasters"
"LMA Manager 2006","","Codemasters","Codemasters"
"Loons: The Fight for Fame","","Infogrames","Infogrames"
"Lord of the Rings: The Fellowship of the Ring !The Lord of the Rings: The Fellowship of the Ring","","Universal Interactive","The Whole Experience"
"Lord of the Rings: The Return of the King !The Lord of the Rings: The Return of the King","","EA Games","Hypnos Entertainment"
"Lord of the Rings: The Third Age !The Lord of the Rings: The Third Age","","EA Games","EA Games"
"Lord of the Rings: The Two Towers !The Lord of the Rings: The Two Towers","","EA Games","Stormfront Studios"
"Lotus Challenge","","Ignition Entertainment","Kuju Entertainment"
"Mace Griffin: Bounty Hunter","","VU Games","Warthog Games"
"Mad Dash Racing","","Eidos Interactive","Crystal Dynamics"
"Madagascar","","Activision","Toys for Bob"
"Madden NFL 06","","EA Sports","EA Tiburon"
"Madden NFL 07","","EA Sports","EA Tiburon"
"Madden NFL 08","","EA Sports","EA Tiburon"
"Madden NFL 09","","EA Sports","EA Tiburon"
"Madden NFL 2002","","EA Sports","EA Tiburon"
"Madden NFL 2003","","EA Sports","EA Tiburon"
"Madden NFL 2004","","EA Sports","EA Tiburon"
"Madden NFL 2005","","EA Sports","EA Tiburon"
"Mafia: The City of Lost Heaven","","Gathering of Developers","Illusion Softworks"
"Magatama","","Microsoft Game Studios","Microsoft Game Studios Japan"
"Magic the Gathering: Battlegrounds","","Atari","Secret Level"
"Magi Death Fight: Mahou Gakuen","","",""
"Major League Baseball 2K5","","2K Games","Kush Games"
"Major League Baseball 2K6","","2K Games","Kush Games"
"Major League Baseball 2K7","","2K Games","Kush Games"
"Malice","","Mud Duck Games","Argonaut Games"
"Manchester United Manager 2005","","Codemasters","Codemasters"
"Manhunt","","Rockstar Games","Rockstar North"
"Marc Ecko's Getting Up: Contents Under Pressure","","Atari","The Collective, Inc."
"Marvel: Ultimate Alliance","","Activision","Raven Software"
"Marvel Nemesis: Rise of the Imperfects","","EA Games","Nihilistic Software"
"Marvel vs. Capcom 2","","Capcom","Capcom"
"Mashed: Fully Loaded","","Empire Interactive","Supersonic Software"
"Mat Hoffman's Pro BMX 2","","Activision","Rainbow Studios"
"Matrix: Path of Neo !The Matrix: Path of Neo","","Atari","Shiny Entertainment"
"Max Payne","","Rockstar Games","Rockstar Vienna"
"Max Payne 2: The Fall of Max Payne","","Rockstar Games","Rockstar Vienna"
"Maximum Chase","","Majesco","Genki"
"MechAssault","","Microsoft Game Studios","Day 1 Studios"
"MechAssault 2: Lone Wolf","","Microsoft Game Studios","Day 1 Studios"
"Medal of Honor: European Assault","","EA Games","EA Los Angeles"
"Medal of Honor: Frontline","","EA Games","2015"
"Medal of Honor: Rising Sun","","EA Games","EA Los Angeles"
"Mega Man Anniversary Collection","","Capcom","Atomic Planet, Capcom Production Studio 2"
"Melbourne Cup Challenge Frankie Dettori Racing(EUR)","","Home Entertainment Providers","Sidhe Interactive"
"Men of Valor","","Vivendi Games","2015"
"Mercenaries: Playground of Destruction","","LucasArts","Pandemic Studios"
"Metal Arms: Glitch in the System","","Vivendi Games","Swingin' Ape Studios"
"Metal Dungeon","","Xicat Interactive","Panther Software"
"Metal Gear Solid 2: Substance","","Konami","Konami"
"Metal Slug 3","","SNK NeoGeo","Playmore, SNK"
"Metal Slug 4","","Playmore","Mega Enterprise"
"Metal Slug 5","","SNK Playmore","SNK Playmore, Noise Factory"
"Metal Wolf Chaos","","FromSoftware","FromSoftware"
"Miami Vice","","Davilex Games","Davilex Games"
"Micro Machines","","Infogrames","Infogrames Sheffield House"
"Midnight Club II","","Rockstar Games","Rockstar San Diego"
"Midnight Club 3: DUB Edition","","Rockstar Games","Rockstar San Diego"
"Midnight Club 3: DUB Edition Remix","","Rockstar Games","Rockstar San Diego"
"Midtown Madness 3","","Microsoft Game Studios","EA DICE"
"Midway Arcade Treasures","","Midway Games","Digital Eclipse Software"
"Midway Arcade Treasures 2","","Midway Games","Digital Eclipse Software"
"Midway Arcade Treasures 3","","Midway Games","Midway Games"
"Mike Tyson Heavyweight Boxing","","Codemasters","Atomic Planet"
"Minority Report: Everybody Runs","","Activision","Treyarch"
"Mission Impossible: Operation Surma","","Atari","Paradigm Entertainment"
"MLB Slugfest 2003","","Midway Games","Midway Games"
"MLB Slugfest 2004","","Midway Games","Midway Games"
"MLB Slugfest 2006","","Midway Games","Midway Games"
"MLB Slugfest: Loaded","","Midway Games","Midway Games"
"Mojo!","","Crave Entertainment","Farsight Technologies"
"Monopoly Party","","Infogrames","Runecraft"
"Monster 4x4: World Circuit","","Ubisoft","Ubisoft"
"Monster Garage","","Activision","Impulse Games"
"Mortal Kombat: Armageddon","","Midway Games","Midway Games"
"Mortal Kombat: Deadly Alliance","","Midway Games","Midway Games"
"Mortal Kombat: Deception","","Midway Games","Midway Games"
"Mortal Kombat: Shaolin Monks","","Midway Games","Midway L.A."
"Motocross Mania 3","","2K Games, Global Star Software","Deibus Studios"
"MotoGP","","THQ","Climax Studios"
"MotoGP 2","","THQ","Climax Studios"
"MotoGP 3","","THQ","Climax Studios"
"[[Music (software)}|MTV Music Generator 3: This is the Remix]]","Music/Rhythm","Codemasters","Mixmax"
"MTX: Mototrax","","Activision","Left Field Productions"
"Murakumo: Renegade Mech Pursuit","","Ubisoft","FromSoftware"
"Muzzle Flash","","Victor Interactive Software","Beyond Interactive"
"MVP 06: NCAA Baseball","","EA Sports","EA Canada"
"MVP Baseball 2003","","EA Sports","EA Sports"
"MVP Baseball 2004","","EA Sports","EA Sports"
"MVP Baseball 2005","","EA Sports","EA Sports"
"MX 2002","","THQ","Pacific Coast Power & Light"
"MX Superfly","","THQ","Pacific Coast Power & Light"
"MX Unleashed","","THQ","Rainbow Studios"
"MX vs. ATV Unleashed","","THQ","Rainbow Studios"
"MX World Tour Featuring Jamie Little","","Crave Entertainment","Impulse Games"
"Myst III: Exile","","Ubisoft","Presto Studios"
"Myst IV: Revelation","","Ubisoft","Ubisoft Montreal"
"N.U.D.E.@ Natural Ultimate Digital Experiment","","Microsoft Game Studios","RED Entertainment"
"Nakashima Tetsuya no Othello Seminar","Tabletop game","Success","Success"
"Namco Museum","","Namco","Mass Media Inc."
"Namco Museum 50th Anniversary Arcade Collection","","Namco","Namco"
"Narc","","Midway Games","Point of View"
"NASCAR 06: Total Team Control","","EA Sports","EA Sports"
"NASCAR 07","","EA Sports","EA Sports"
"NASCAR 2005: Chase for the Cup","","EA Games","EA Tiburon"
"NASCAR Heat 2002","","Atari","Monster Games"
"NASCAR Thunder 2002","","EA Games","EA Games"
"NASCAR Thunder 2003","","EA Sports","EA Sports"
"NASCAR Thunder 2004","","EA Games","EA Games"
"NBA 2K2","","Sega","Visual Concepts"
"NBA 2K3","","Sega","Visual Concepts"
"NBA 2K6","","2K Sports","Visual Concepts"
"NBA 2K7","","2K Sports","Visual Concepts, Kush Games"
"NBA Ballers","","Midway Games","Midway Games"
"NBA Ballers: Phenom","","Midway Games","Midway Games"
"NBA Inside Drive 2002","","Microsoft Game Studios","High Voltage Software"
"NBA Inside Drive 2003","","Microsoft Game Studios","High Voltage Software"
"NBA Inside Drive 2004","","Microsoft Game Studios","High Voltage Software"
"NBA Jam","","Acclaim Entertainment","Acclaim Entertainment"
"NBA Live 06","","EA Sports","EA Canada"
"NBA Live 07","","EA Sports","EA Sports"
"NBA Live 2002","","EA Games","EA Games"
"NBA Live 2003","","EA Sports","EA Canada"
"NBA Live 2004","","EA Sports","EA Sports"
"NBA Live 2005","","EA Sports","EA Canada"
"NBA Starting Five","","Konami","Konami"
"NBA Street V3","","EA Sports BIG","EA Canada"
"NBA Street Vol. 2","","EA Games","EA Games"
"NCAA College Basketball 2K3","","Sega","Kush Games"
"NCAA College Football 2K3","","Sega","Visual Concepts"
"NCAA Football 06","","EA Sports","EA Sports"
"NCAA Football 07","","EA Sports","EA Sports"
"NCAA Football 08","","EA Sports","EA Sports"
"NCAA Football 2003","","EA Sports","EA Sports"
"NCAA Football 2004","","EA Sports","EA Sports"
"NCAA Football 2005","","EA Sports","EA Sports"
"NCAA March Madness 06","","EA Sports","EA Sports"
"NCAA March Madness 2004","","EA Games","EA Sports"
"NCAA March Madness 2005","","EA Sports","EA Canada"
"Need for Speed: Carbon","","EA Games","EA Canada"
"Need for Speed: Hot Pursuit 2","","EA Games","EA Seattle"
"Need for Speed: Most Wanted","","EA Games","EA Canada"
"Need for Speed: Underground","","EA Games","EA Games"
"Need for Speed: Underground 2","","EA Games","EA Canada"
"Neighbours from Hell","","JoWood Productions","JoWood Productions"
"New Legends","","THQ","Infinite Machine"
"NFL 2K2","","Sega","Visual Concepts"
"NFL 2K3","","Sega","Visual Concepts"
"NFL Blitz 2002","","Midway Games","Point of View, Inc."
"NFL Blitz 2003","","Midway Games","Point of View, Inc."
"NFL Blitz Pro","","Midway Games","Midway Games"
"NFL Fever 2002","","Microsoft Game Studios","Microsoft Game Studios"
"NFL Fever 2003","","Microsoft Game Studios","Microsoft Game Studios"
"NFL Fever 2004","","Microsoft Game Studios","Microsoft Game Studios"
"NFL Head Coach","","EA Sports","EA Tiburon"
"NFL Street","","EA Sports","EA Tiburon"
"NFL Street 2","","EA Sports Big","EA Tiburon"
"NHL 06","","EA Games","EA Canada"
"NHL 07","","EA Sports","EA Sports"
"NHL 2002","","EA Games","EA Sports"
"NHL 2003","","EA Sports","EA Sports"
"NHL 2004","","EA Games","EA Games"
"NHL 2005","","EA Games","EA Games"
"NHL 2K3","","Sega","Treyarch"
"NHL 2K6","","2K Sports","Kush Games"
"NHL 2K7","","2K Sports","Kush Games, Visual Concepts"
"NHL Hitz 20-02","","Midway Games","Black Box Games"
"NHL Hitz 20-03","","Midway Games","Midway Games"
"NHL Hitz Pro","","Midway Games","Next Level Games"
"NHL Rivals 2004","","Microsoft Game Studios","Microsoft Game Studios"
"Nickelodeon Party Blast","","Infogrames","Data Design Interactive"
"NightCaster","","Microsoft Game Studios","VR-1"
"NightCaster II: Equinox","","Jaleco","Jaleco"
"Ninja Gaiden","","Tecmo","Team Ninja"
"Ninja Gaiden Black","","Microsoft Game Studios","Team Ninja"
"Nobunaga no Yabou: Ranseiki","","Koei","Koei"
"ObsCure","","DreamCatcher Interactive","Hydravision"
"Oddworld: Munch's Oddysee","","Microsoft Game Studios","Oddworld Inhabitants"
"Oddworld: Stranger's Wrath","","EA Games","Oddworld Inhabitants"
"Open Season","","Ubisoft","Ubisoft"
"Operation Flashpoint: Elite","","Codemasters","Bohemia Interactive"
"Otogi !Otogi: Myth of Demons","","Sega","FromSoftware"
"Otogi 2 !Otogi 2: Immortal Warriors","","Sega","FromSoftware"
"Outlaw Golf","","Simon & Schuster","Simon & Schuster"
"Outlaw Golf 2","","Global Star Software","Hypnotix"
"Outlaw Golf: 9 Holes of X-Mas","","Simon & Schuster","Simon & Schuster"
"Outlaw Golf: 9 More Holes of X-Mas","","Simon & Schuster","Hypnotix"
"Outlaw Golf: Holiday Golf","","Simon & Schuster","Simon & Schuster"
"Outlaw Tennis","","Global Star Software","Hypnotix"
"Outlaw Volleyball","","Simon & Schuster","Hypnotix"
"Outlaw Volleyball: Red Hot","","Simon & Schuster","Hypnotix"
"OutRun 2","","Microsoft Game Studios","Sumo Digital"
"OutRun 2006: Coast 2 Coast","","Sega","Sumo Digital"
"Over the Hedge","","Activision","Edge of Reality"
"Pac-Man World 2","","Namco","Namco"
"Pac-Man World 3","","EA Games","Blitz Games"
"Painkiller: Hell Wars","","DreamCatcher Interactive","People Can Fly"
"Panzer Dragoon Orta","","Sega","Smilebit"
"Panzer Elite Action: Fields of Glory","","JoWooD Entertainment","ZootFly"
"Pariah","","Groove Games","Digital Extremes"
"Peter Jackson's King Kong","","Ubisoft","Ubisoft Montpellier"
"Petite Copter","","Aqua Systems","Aqua Systems"
"Phantasy Star Online Episode I & II","","Sega","Sonic Team"
"Phantom Crash","","Phantagram","Genki"
"Phantom Dust","","Majesco, Microsoft Game Studios","Microsoft Game Studios"
"Pilot Down: Behind Enemy Lines","","Microids","Wide Games"
"Pinball Hall of Fame","","Crave Entertainment","FarSight Studios"
"Pirates of the Caribbean","","Bethesda Softworks","Akella"
"Pirates: Legend of the Black Buccaneer","","10tacle Studios","WideScreen Games"
"Pirates: The Legend of Black Kat","","EA Games","Westwood Studios"
"Pitfall: The Lost Expedition","","Activision","Edge of Reality"
"Playboy: The Mansion","","Arush Entertainment, Groove Games","Cyberlore Studios"
"Plus Plum 2","","Tayuko","Tayuko"
"PocketBike Racer","","King Games","Blitz Games"
"Pool Shark 2","","Zoo Digital Publishing","Blade Interactive"
"Powerdrome","","Mud Duck Productions","Argonaut Software"
"Predator: Concrete Jungle","","Sierra Entertainment, Fox Interactive","Eurocom"
"Prince of Persia: The Sands of Time","","Ubisoft","Ubisoft Montreal"
"Prince of Persia: The Two Thrones","","Ubisoft","Ubisoft Montreal"
"Prince of Persia: Warrior Within","","Ubisoft","Ubisoft Montreal"
"Prisoner of War","","Historic Action Adventure","Wide Games"
"Pro Cast Sports Fishing Lakemasters: Bass Fishing Game(JP)","","Capcom","Capcom"
"Pro Fishing Challenge","","Atlus","Opus Company"
"Pro Race Driver TOCA Race Driver (EU)","","Codemasters","Codemasters"
"Project Gotham Racing","","Microsoft Game Studios","Bizarre Creations"
"Project Gotham Racing 2","","Microsoft Game Studios","Bizarre Creations"
"Project Snowblind","","Eidos Interactive","Crystal Dynamics"
"ProStroke Golf: World Tour 2007","","Oxygen Interactive","Gusto Games"
"Psi-Ops: The Mindgate Conspiracy","","Midway Games","Midway Games"
"Psychonauts","","Majesco Entertainment","Double Fine Productions"
"Psyvariar 2","","Success Corporation","SKONEC Entertainment"
"Pulse Racer","","Jaleco","Jaleco"
"Pump It Up: Exceed","","Mastiff","Andamiro"
"Punisher !The Punisher","","THQ","Volition, Inc."
"Pure Pinball","","XS Games","Iridon"
"Puyo Pop: Fever","","Sega","Sonic Team"
"Quantum Redshift","","Microsoft Game Studios","Curly Monsters"
"R: Racing Evolution","","Namco","Namco"
"Rallisport Challenge","","Microsoft Game Studios","EA DICE"
"RalliSport Challenge 2","","Microsoft Game Studios","EA DICE"
"Rally Fusion: Race of Champions","","Activision","Climax Studios"
"Rapala Pro Fishing","","Activision","FUN Labs"
"Ratatouille","","THQ","Heavy Iron Studios"
"Rayman 3: Hoodlum Havoc","","Ubisoft","Ubisoft"
"Rayman Arena","","Ubisoft","Ubisoft"
"Raze's Hell","","Majesco Entertainment","Artech Studios"
"Real World Golf","","Mad Katz","In2Games"
"Red Dead Revolver","","Rockstar Games","Rockstar San Diego"
"Red Faction II","","THQ","Volition"
"Red Ninja: End of Honor","","Vivendi Games","Tranji Studios"
"RedCard 20-03","","Midway Games","Point of View"
"Reign of Fire","","BAM! Entertainment","Kuju Entertainment"
"Rent-A-Hero No. 1","","AIA Games","Sega"
"Reservoir Dogs","","Eidos Interactive","Volatile Games"
"Return to Castle Wolfenstein: Tides of War","","Activision","Gray Matter Interactive"
"Richard Burns Rally","","SCi","Warthog Games"
"RLH !RLH: Run Like Hell","","Interplay","Digital Mayhem"
"RoadKill","","Midway Games","Midway Games"
"Robin Hood: Defender of the Crown","","ZOO Digital Group, Capcom","Cinemaware"
"RoboCop","","MGM Interactive","Titus Software"
"Robot Wars: Extreme Destruction","","BBC Multimedia","Futuretech Inc."
"Robotech: Battlecry","","TDK Mediactive","Vicious Cycle Software"
"Robotech: Invasion","","Global Star Software","Vicious Cycle Software"
"Robots","","Vivendi Games","Eurocom"
"Rocky","","Ubisoft","Rage Software"
"Rocky: Legends","","Ubisoft","Venom Games"
"Rogue Ops","","Kemco","Bits Studios"
"Rogue Trooper","","Eidos Interactive","Rebellion Developments"
"RollerCoaster Tycoon","","Hasbro Interactive","Chris Sawyer"
"Rolling","","Rage Software","Rage Software"
"Room Zoom","","Jaleco","Blade Interactive"
"Rugby 06","","EA Sports","EA Canada, HB Studios"
"Rugby 2005","","EA Games","EA Canada"
"Rugby Challenge 2006","","Hip Interactive, Ubisoft","Swordfish Studios"
"Rugby League","","Home Entertainment Suppliers, Tru Blu Entertainment","Sidhe Interactive"
"Rugby League 2","","Home Entertainment Suppliers","Sidhe Interactive"
"Samurai Shodown V","","SNK Playmore","SNK Playmore"
"Samurai Warriors","","Koei","Omega Force"
"Scaler","","NA: Take-Two Interactive PAL: Global Star Software","A2M"
"Scarface: The World Is Yours","","Sierra Entertainment","Radical Entertainment"
"Scooby-Doo! Mystery Mayhem","","THQ","A2M"
"Scooby-Doo! Night of 100 Frights","","THQ","Heavy Iron Studios"
"Scooby-Doo! Unmasked","","THQ","A2M"
"American McGee Presents: Scrapland","","Enlight","Mercury Steam Entertainment"
"SeaBlade","","Simon & Schuster","Simon & Schuster"
"SeaWorld: Shamu's Deep Sea Adventures","","Activision","Activision"
"Second Sight","","Codemasters","Free Radical Design"
"Secret Weapons Over Normandy","","LucasArts","Totally Games"
"Sega GT 2002","","Sega","Wow Entertainment"
"Sega GT Online","","Sega","Wow Entertainment"
"Sega Soccer Slam","","Sega","Black Box Games"
"Sensible Soccer 2006","","Codemasters","Kuju Entertainment"
"Sentou Yousei Yukikaze: Yousei no Mau Sora","Cel-shaded flight combat","Aquasystem","Aquasystem"
"Serious Sam","","Gathering of Developers","Croteam"
"Serious Sam II","","2K Games","Croteam"
"Shade: Wrath of Angels","","Cenega Publishing","Black Element"
"Shadow of Memories","","Konami","Konami"
"Shadow Ops: Red Mercury","","Atari","Zombie Studios"
"Shadow the Hedgehog","","Sega","Sega Studio USA"
"Shark Tale","","Activision","Edge of Reality"
"Shattered Union","","2K Games","PopTop Software"
"Shellshock: Nam '67","","Eidos Interactive","Guerrilla Games"
"Shenmue II","","Microsoft Game Studios","Rutubo Games"
"Shikigami no Shiro","","MediaQuest","Alfa System"
"Shikigami no Shiro Evolution Blue","","MediaQuest","Alfa System"
"Shikigami no Shiro Evolution Red","","MediaQuest","Alfa System"
"Shikigami no Shiro II","","MediaQuest","Alfa System"
"Shinchou Mahjong (Nobunaga Mahjong)","Tabletop game","E-Frontier","Success"
"Shin Megami Tensei: Nine","","Atlus","Next Entertainment"
"Showdown: Legends of Wrestling","","Acclaim Entertainment","Acclaim Studios Austin"
"Shrek","","TDK Mediactive","EA DICE"
"Shrek 2","","Activision","Luxoflux"
"Shrek Super Party","","TDK Mediactive","Mass Media"
"Shrek SuperSlam","","Activision","Shaba Games"
"Sid Meier's Pirates!","","2K Games","Firaxis Games"
"Silent Hill 2","","Konami","Konami"
"Silent Hill 4: The Room","","Konami","Konami"
"Silent Scope Complete","","Konami","Konami"
"Simpsons: Hit & Run !The Simpsons: Hit & Run","","Vivendi Universal Games","Radical Entertainment"
"Simpsons: Road Rage !The Simpsons: Road Rage","","EA Games","Radical Entertainment"
"Sims !The Sims","","EA Games","Edge of Reality"
"Sims 2 !The Sims 2","","EA Games","Maxis"
"Sims Bustin' Out !The Sims Bustin' Out","","EA Games","Maxis"
"Ski Racing 2005","","JoWooD Entertainment","ColdWood Interactive"
"Ski Racing 2006","","Deep Silver","ColdWood Interactive"
"Slam Tennis","","Atari","Atari"
"Smashing Drive","","Namco","Point of View"
"Sneak King","","King Games","Blitz Games"
"Sneakers","","Microsoft Game Studios","Media.Vision"
"Sniper Elite","","Namco","Rebellion Developments"
"Soldier of Fortune II: Double Helix","","Activision","Gratuitous Games"
"Sonic Heroes","","Sega","Sonic Team"
"Sonic Mega Collection Plus","","Sega","Sonic Team"
"Sonic Riders","","Sega","Sonic Team"
"Soul Calibur II","","Namco","Namco"
"Spartan: Total Warrior","","Sega","The Creative Assembly"
"Spawn: Armageddon","","Namco","Point of View"
"Special Forces: Nemesis Strike Counter Terrorist Special Forces: Fire for Effect(EUR)","","Hip Games","Asobo Studio"
"Speed Kings","","Acclaim Entertainment","Climax Group"
"Sphinx and the Cursed Mummy","","THQ","Eurocom"
"Spider-Man","","Activision","Treyarch"
"Spider-Man 2","","Activision","Treyarch"
"Spikeout: Battle Street","","Sega","Dimps"
"Splashdown","","Atari","Rainbow Studios"
"Splat Magazine Renegade Paintball","","Take-Two Interactive","Cat Daddy Games"
"SpongeBob SquarePants: Battle for Bikini Bottom","","THQ","Heavy Iron Studios"
"SpongeBob SquarePants: Lights, Camera, Pants!","","THQ","WayForward Technologies"
"SpongeBob SquarePants Movie Game !The SpongeBob SquarePants Movie Game","","THQ","Heavy Iron Studios"
"Spy Hunter","","Midway Games","Paradigm Entertainment"
"Spy Hunter 2","","Midway Games","Angel Studios"
"Spy Hunter: Nowhere to Run","","Midway Games","Terminal Reality"
"Spy vs. Spy","","Global Star Software","Vicious Cycle Software"
"Spyro: A Hero's Tail","","Vivendi Universal Games","Eurocom"
"SSX 3","","EA Sports","EA Canada"
"SSX On Tour","","EA Sports","EA Canada"
"SSX Tricky","","EA Sports","EA Canada"
"Stacked with Daniel Negreanu","","Myelin Media","5000ft"
"Stake: Fortune Fighters","","Metro3D, Inc.","Gameness Art"
"Star Trek: Shattered Universe","","TDK","Starsphere"
"Star Wars: Jedi Knight: Jedi Academy","","LucasArts","Vicarious Visions"
"Star Wars: Jedi Knight II: Jedi Outcast","","LucasArts","Vicarious Visions"
"Star Wars: Battlefront","","LucasArts","Pandemic Studios"
"Star Wars: Battlefront II","","LucasArts","Pandemic Studios"
"Star Wars: Episode III: Revenge of the Sith","","LucasArts","The Collective, Inc."
"Star Wars: Jedi Starfighter","","LucasArts","LucasArts"
"Star Wars: Knights of the Old Republic","","LucasArts","BioWare"
"Star Wars: Knights of the Old Republic II: The Sith Lords","","LucasArts","Obsidian Entertainment"
"Star Wars: Obi-Wan","","LucasArts","LucasArts"
"Star Wars: Republic Commando","","LucasArts","LucasArts"
"Star Wars: Starfighter","","LucasArts","LucasArts"
"Star Wars: The Clone Wars","","LucasArts","Pandemic Studios"
"Starsky & Hutch","","Empire Interactive","Mind's Eye"
"State of Emergency","","Rockstar Games","VIS Entertainment"
"Steel Battalion","","Capcom, Microsoft Game Studios","Capcom, Nude Maker"
"Steel Battalion: Line of Contact","","Capcom","Capcom, Nude Maker"
"Still Life","","The Adventure Company","Microïds"
"Stolen","","Hip Interactive","Blue 52"
"Street Fighter Anniversary Collection","","Capcom","Capcom"
"Street Hoops","","Activision","Black Ops"
"Street Racing Syndicate","","Namco","Eutechnyx"
"Strike Force Bowling","","Crave Entertainment","LAB Rats Games"
"Stubbs the Zombie in Rebel Without a Pulse","","Aspyr","Wideload"
"Sudeki","","Microsoft Game Studios","Climax"
"Suffering !The Suffering","","Midway Games","Surreal Software"
"Suffering: Ties That Bind !The Suffering: Ties That Bind","","Midway Games","Surreal Software"
"Super Bubble Pop","","Jaleco","Zombie Studios"
"Super Monkey Ball Deluxe","","Sega","Sega"
"Superman Returns","","EA Games","EA Tiburon"
"Superman: The Man of Steel","","Atari","Circus Freak Studios"
"SVC Chaos: SNK vs. Capcom","","Playmore","Playmore"
"SWAT: Global Strike Team","","Sierra Entertainment","Argonaut"
"SX Superstar","","Acclaim Entertainment","Climax Studios"
"Syberia","","XS Games","Microïds"
"Syberia II","","XS Games","Microïds"
"Taito Legends","","Empire Interactive, Sega","Taito Corporation"
"Taito Legends 2","","Empire Interactive","Taito Corporation"
"Tak: The Great Juju Challenge","","THQ","Avalanche Software"
"Tak 2: The Staff of Dreams","","THQ","Avalanche Software"
"Takahashi Akiko no Mahjong Seminar","Tabletop game","Success","Success"
"Tao Feng: Fist of the Lotus","","Microsoft Game Studios","Studio Gigante"
"Taz: Wanted","","Infogrames, Warner Bros. Interactive","Blitz Games"
"Tecmo Classic Arcade","","Tecmo","Tecmo"
"Teen Titans","","THQ, Majesco Entertainment","Artificial Mind and Movement"
"Teenage Mutant Ninja Turtles","","Konami","Konami"
"Teenage Mutant Ninja Turtles: Mutant Melee","","Konami","KCE Hawaii"
"Teenage Mutant Ninja Turtles 2: Battle Nexus","","Konami","Konami"
"Teenage Mutant Ninja Turtles 3: Mutant Nightmare","","Konami","Konami"
"Tenchu: Return from Darkness","","Activision, FromSoftware (JP)","K2 LLC"
"Tenerezza","","Aqua Plus","Aqua Plus"
"Tennis Masters Series 2003","","Hip Games","Microids"
"Terminator: Dawn of Fate !The Terminator: Dawn of Fate","","Infogrames","Paradigm Entertainment"
"Terminator 3: Rise of the Machines","","Atari","Black Ops Entertainment"
"Terminator 3: The Redemption","","Atari","Paradigm Entertainment"
"Test Drive TD Overdrive(EUR)","","Infogrames","Pitbull Syndicate"
"Test Drive: Eve of Destruction","","Atari","Monster Games"
